cell_id,lat_cell,lng_cell,cafes,avg_rating,share_high,avg_sentiment
"25.251,55.334",25.251,55.334,3,4.7,1.0,0.4720371434121435
"25.251,55.339",25.251,55.339,2,4.75,0.0,0.4175115342412218
"25.252,55.288",25.252,55.288,1,4.2,0.0,0.3735256132756133
"25.252,55.291",25.252,55.291,2,4.4,0.0,0.0247492784992784
"25.252,55.293",25.252,55.293,1,4.2,1.0,0.458507215007215
"25.252,55.302",25.252,55.302,1,4.0,0.0,0.224172619047619
"25.252,55.304",25.252,55.304,3,4.7,0.3333333333333333,0.43165464148946286
"25.252,55.309",25.252,55.309,2,4.65,0.5,0.4064444444444445
"25.252,55.332",25.252,55.332,10,4.470000000000001,0.6,0.35663543775442347
"25.252,55.333",25.252,55.333,8,4.5,0.375,0.3169436390429187
"25.252,55.335",25.252,55.335,1,4.8,0.0,0.3264035714285714
"25.252,55.337",25.252,55.337,1,4.4,0.0,0.518978947368421
"25.252,55.34",25.252,55.34,1,4.5,0.0,0.3139806697931698
"25.252,55.355",25.252,55.355,1,4.8,0.0,
"25.253,55.292",25.253,55.292,2,4.5,0.0,
"25.253,55.293",25.253,55.293,1,5.0,0.0,
"25.253,55.296",25.253,55.296,1,3.9,0.0,0.2709916666666666
"25.253,55.3",25.253,55.3,1,4.0,1.0,0.5206313131313132
"25.253,55.302",25.253,55.302,2,4.7,1.0,0.2750095172188922
"25.253,55.303",25.253,55.303,4,4.4,0.5,0.43112521043771046
"25.253,55.305",25.253,55.305,1,4.6,1.0,0.2510056133962944
"25.253,55.306",25.253,55.306,1,4.8,1.0,0.4351887667887668
"25.253,55.328",25.253,55.328,1,4.4,0.0,
"25.253,55.329",25.253,55.329,1,4.5,1.0,0.1959642857142857
"25.253,55.331",25.253,55.331,1,4.2,1.0,0.1720400249508945
"25.253,55.332",25.253,55.332,4,4.3,0.25,0.3656478516222834
"25.253,55.334",25.253,55.334,3,4.533333333333334,0.6666666666666666,0.37176197259530586
"25.254,55.293",25.254,55.293,1,4.5,1.0,0.3921709595959596
"25.254,55.299",25.254,55.299,1,4.4,1.0,0.3658686591186591
"25.254,55.302",25.254,55.302,1,4.9,1.0,0.4069978070175438
"25.254,55.303",25.254,55.303,19,4.352631578947369,0.42105263157894735,0.3217279250009808
"25.254,55.305",25.254,55.305,2,4.1,0.5,0.23203597972076231
"25.254,55.328",25.254,55.328,1,4.5,0.0,0.3446854811854812
"25.254,55.329",25.254,55.329,1,4.6,0.0,0.5167333333333334
"25.254,55.33",25.254,55.33,1,4.3,0.0,0.2939662698412698
"25.254,55.333",25.254,55.333,1,4.1,0.0,
"25.254,55.335",25.254,55.335,1,4.9,0.0,0.4013538961038961
"25.254,55.336",25.254,55.336,1,3.9,0.0,
"25.254,55.337",25.254,55.337,1,4.3,0.0,
"25.255,55.285",25.255,55.285,2,4.3,0.5,0.3879506721348827
"25.255,55.302",25.255,55.302,1,3.4,0.0,0.1557222222222222
"25.255,55.303",25.255,55.303,10,4.43,0.5,0.3179438603735909
"25.255,55.305",25.255,55.305,2,4.35,0.5,0.42311381951381954
"25.255,55.328",25.255,55.328,4,4.75,0.5,0.4265267412281234
"25.255,55.393",25.255,55.393,1,4.5,0.0,0.3906384803921569
"25.256,55.29",25.256,55.29,1,3.5,0.0,0.1314087301587301
"25.256,55.296",25.256,55.296,1,4.6,0.0,
"25.256,55.303",25.256,55.303,2,4.75,0.0,
"25.256,55.304",25.256,55.304,1,5.0,0.0,
"25.256,55.311",25.256,55.311,1,4.8,1.0,0.3629730068950657
"25.256,55.312",25.256,55.312,1,4.7,0.0,
"25.256,55.33",25.256,55.33,3,4.266666666666667,0.3333333333333333,0.16257408087526506
"25.256,55.331",25.256,55.331,1,3.9,0.0,0.3768486772486772
"25.257,55.274",25.257,55.274,1,4.6,0.0,
"25.257,55.286",25.257,55.286,1,3.8,0.0,
"25.257,55.287",25.257,55.287,2,4.199999999999999,0.5,0.3646179736929736
"25.257,55.295",25.257,55.295,1,4.1,0.0,
"25.257,55.298",25.257,55.298,2,3.55,0.0,0.3107069902319902
"25.257,55.299",25.257,55.299,3,3.7999999999999994,0.3333333333333333,0.26404916352449875
"25.257,55.313",25.257,55.313,1,4.7,1.0,0.261034717927575
"25.257,55.387",25.257,55.387,1,4.9,0.0,
"25.257,55.516",25.257,55.516,1,4.4,1.0,0.2079923941798941
"25.258,55.273",25.258,55.273,1,4.6,1.0,0.380078898225957
"25.258,55.298",25.258,55.298,2,5.0,0.0,
"25.258,55.299",25.258,55.299,2,4.199999999999999,0.5,0.27383625507312476
"25.258,55.322",25.258,55.322,3,4.266666666666667,0.0,0.40174658969174293
"25.258,55.327",25.258,55.327,1,4.4,0.0,0.3091270661157025
"25.258,55.336",25.258,55.336,1,4.6,1.0,0.4410209235209235
"25.259,55.273",25.259,55.273,1,4.8,0.0,
"25.259,55.28",25.259,55.28,1,4.9,1.0,0.4452724709501026
"25.259,55.291",25.259,55.291,1,4.2,1.0,0.3937462013619908
"25.259,55.297",25.259,55.297,1,5.0,0.0,
"25.259,55.298",25.259,55.298,2,4.4,0.0,0.4060430194805195
"25.259,55.3",25.259,55.3,1,4.1,0.0,0.2351848484848485
"25.259,55.319",25.259,55.319,3,4.766666666666667,0.3333333333333333,0.41062548456002607
"25.259,55.322",25.259,55.322,1,4.7,1.0,0.3640332315832316
"25.259,55.323",25.259,55.323,2,4.0,0.5,0.46116158008658004
"25.259,55.329",25.259,55.329,1,4.3,0.0,0.4464972222222222
"25.26,55.28",25.26,55.28,1,4.7,1.0,0.4983070175438596
"25.26,55.298",25.26,55.298,2,4.6,0.0,
